workload_id,manifest_sha256,system_id,group_id,duplicate_group,order,dataset_id,source_path,source_sha256,normalized_structure_sha256,frame_index,atom_count,species,chemical_formula,pbc,cell_A,volume_A3,constraints,topology_edge_counts,arrival_time,random_seed,reference
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0000,XATMOV_C1_14_4683_z2_22,7c9dd5e46c429b9ddecc5284de4fed8fe568aa58712f2ecafff47b12c1f2eda8,0,cross_family_test_set,XATMOV/structures/XATMOV_C1_14_4683_z2_22.cif,6c29e3b111286f06f8db5c728307bfc2e3888953816cfefcf19b73e92ea89314,7c9dd5e46c429b9ddecc5284de4fed8fe568aa58712f2ecafff47b12c1f2eda8,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[14.997802541143557, 0.0, 0.0, 0.0, 15.697657412642577, 0.0, 1.2505342164230457, 0.0, 14.553103039335461]",3426.242378382163,[],"{""cutoff=6.000_skin=0.000"": 1464, ""cutoff=6.000_skin=0.500"": 1884}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0001,XATMOV_C2_14_50_z2_22,559513858b805404d78555edeea125605765523c1f601ff5f211c4c795f2020e,1,cross_family_test_set,XATMOV/structures/XATMOV_C2_14_50_z2_22.cif,85f1ca3c9b32ec0f1578ef87f1dce1c57e4067cf3b79fa655aadff3943a45b64,559513858b805404d78555edeea125605765523c1f601ff5f211c4c795f2020e,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[15.850232021694204, 0.0, 0.0, 0.0, 14.993564023661051, 0.0, 6.2289171606347, 0.0, 14.089131115706843]",3348.3027010464907,[],"{""cutoff=6.000_skin=0.000"": 1640, ""cutoff=6.000_skin=0.500"": 1984}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0002,XATMOV_C2_14_2708_z2_22,0a9fc5e9ff221a2fac7de45304ff6a4b9660b2497dd492b83a9423b11e6a0740,2,cross_family_test_set,XATMOV/structures/XATMOV_C2_14_2708_z2_22.cif,38273728e59f965c7c651979497220bbcc88d0d2a677fd5d59c01098bd11f344,0a9fc5e9ff221a2fac7de45304ff6a4b9660b2497dd492b83a9423b11e6a0740,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[18.69832205591105, 0.0, 0.0, 0.0, 13.533081565999808, 0.0, -9.271059956163834, 0.0, 13.879180460058986]",3512.0699540797596,[],"{""cutoff=6.000_skin=0.000"": 1728, ""cutoff=6.000_skin=0.500"": 2120}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0003,XATMOV_C1_14_635_z2_22,5b49cca60016d129315d82737f5a4299f7c4f97dbfeb36fd3d0f9e070471bcb1,3,cross_family_test_set,XATMOV/structures/XATMOV_C1_14_635_z2_22.cif,fe6269783f536decfca824831c12a4082f67044981a2db6e634d2ae169bc6388,5b49cca60016d129315d82737f5a4299f7c4f97dbfeb36fd3d0f9e070471bcb1,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[14.023229239353142, 0.0, 0.0, 0.0, 14.928813852990658, 0.0, -1.0496325882334139, 0.0, 14.55311217012713]",3046.696636835311,[],"{""cutoff=6.000_skin=0.000"": 1740, ""cutoff=6.000_skin=0.500"": 2152}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0004,XATMOV_C1_14_43_z2_22,5da9b0adfdb67b43fd5d9ce7f63890dfd259aacd9cec647eca790704629d8ee2,4,cross_family_test_set,XATMOV/structures/XATMOV_C1_14_43_z2_22.cif,0eb2a2f077b6d4b07cb7a6763c233e9a50b5dc55a3118f69e5a461e9f07893a0,5da9b0adfdb67b43fd5d9ce7f63890dfd259aacd9cec647eca790704629d8ee2,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[19.489560966819383, 0.0, 0.0, 0.0, 16.226965566105783, 0.0, 7.9247705532654855, 0.0, 12.75633864122784]",4034.274178591101,[],"{""cutoff=6.000_skin=0.000"": 1804, ""cutoff=6.000_skin=0.500"": 2220}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0005,XATMOV_C2_14_3059_z2_22,561da56ff571a5d614900b9ccce973de2e9d3fd0cb5dd6b818dd6e5648fd9874,5,cross_family_test_set,XATMOV/structures/XATMOV_C2_14_3059_z2_22.cif,c63c09f21fd77c6b26c0a68189191b3a2dc12cef161ce5555f3bfcb39335bfc8,561da56ff571a5d614900b9ccce973de2e9d3fd0cb5dd6b818dd6e5648fd9874,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[11.309419313121507, 0.0, 0.0, 0.0, 18.922986828999534, 0.0, 6.890040294442742, 0.0, 17.997264830793387]",3851.5585206333426,[],"{""cutoff=6.000_skin=0.000"": 1848, ""cutoff=6.000_skin=0.500"": 2140}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0006,XATMOV_C1_14_6727_z2_22,9e89a2731de8348c9954c72d187ca1dbaf695018f06f547ec0c5881f0648aef4,6,cross_family_test_set,XATMOV/structures/XATMOV_C1_14_6727_z2_22.cif,d015415ea3fa26b163e3cc2041d7427480400acb36bdfd59653159018c4bcffa,9e89a2731de8348c9954c72d187ca1dbaf695018f06f547ec0c5881f0648aef4,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[17.798513433314206, 0.0, 0.0, 0.0, 11.471834326823977, 0.0, 6.266587970213285, 0.0, 16.303916805174]",3328.9597766799448,[],"{""cutoff=6.000_skin=0.000"": 1880, ""cutoff=6.000_skin=0.500"": 2296}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0007,XATMOV_C2_14_4304_z2_22,7dafbca34ff23c18766fcfdf9a3d1595ac726f8206244c0c3d4da9211ee98fbc,7,cross_family_test_set,XATMOV/structures/XATMOV_C2_14_4304_z2_22.cif,c0c7551f77a28d725e1f81cd19f91829087b80aef666021175fa6e0757ab771c,7dafbca34ff23c18766fcfdf9a3d1595ac726f8206244c0c3d4da9211ee98fbc,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[13.856593600531205, 0.0, 0.0, 0.0, 14.484454845165558, 0.0, -1.5046549695166258, 0.0, 14.568246517207694]",2923.9228937431476,[],"{""cutoff=6.000_skin=0.000"": 1900, ""cutoff=6.000_skin=0.500"": 2424}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0008,XATMOV_C1_14_3435_z2_22,c472ab8a2e45970cbe8a324999946013618cbed4510d387f18328602b4d4c415,8,cross_family_test_set,XATMOV/structures/XATMOV_C1_14_3435_z2_22.cif,dfd7cf506721ea8e32418773fe4879389909f2cbbc3f0c25bd1675aece85843a,c472ab8a2e45970cbe8a324999946013618cbed4510d387f18328602b4d4c415,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[16.391685234115336, 0.0, 0.0, 0.0, 15.191273899199388, 0.0, -4.018855147605941, 0.0, 14.346492550780116]",3572.428431909256,[],"{""cutoff=6.000_skin=0.000"": 1920, ""cutoff=6.000_skin=0.500"": 2396}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0009,XATMOV_C2_14_3897_z2_22,7492dddfc5b6d1d3c4fd35a2344c3e69d0fa60519da006bfc9f991b56cb140b9,9,cross_family_test_set,XATMOV/structures/XATMOV_C2_14_3897_z2_22.cif,85e5ac4b816988d90354a170d53098d6c714e0973a7d906129e829c3cadf2d74,7492dddfc5b6d1d3c4fd35a2344c3e69d0fa60519da006bfc9f991b56cb140b9,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[18.3477082313753, 0.0, 0.0, 0.0, 18.86917580369166, 0.0, 3.7507350116327998, 0.0, 12.025623075440835]",4163.3444523957005,[],"{""cutoff=6.000_skin=0.000"": 1944, ""cutoff=6.000_skin=0.500"": 2228}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0010,XATMOV_C2_14_1654_z2_22,d620471986a33cabac789cd63e7ee301c763458d4917144b21fdad4b8d299183,10,cross_family_test_set,XATMOV/structures/XATMOV_C2_14_1654_z2_22.cif,24c9106acfe40c746dfe8c84407c96c37109b96f6e818fb9c79871f42df52044,d620471986a33cabac789cd63e7ee301c763458d4917144b21fdad4b8d299183,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[16.52830550673606, 0.0, 0.0, 0.0, 14.813574783893756, 0.0, 8.338485027112576, 0.0, 18.431525671648803]",4512.835379177141,[],"{""cutoff=6.000_skin=0.000"": 1956, ""cutoff=6.000_skin=0.500"": 2268}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0011,XATMOV_C1_14_127_z2_22,3c5b3f880ec786356fd478b9b6a9f97bec8195dff4210f824a9c413d1152251d,11,cross_family_test_set,XATMOV/structures/XATMOV_C1_14_127_z2_22.cif,4e14ead390c64c979fe95a48821151d3a29cd130dac13bd5f288f23208bab8bc,3c5b3f880ec786356fd478b9b6a9f97bec8195dff4210f824a9c413d1152251d,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[14.282615209864368, 0.0, 0.0, 0.0, 14.287146856035257, 0.0, -3.9184023348941532, 0.0, 18.570847647822813]",3789.5267049812414,[],"{""cutoff=6.000_skin=0.000"": 1968, ""cutoff=6.000_skin=0.500"": 2384}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0012,XATMOV_C2_14_248_z2_22,1b228273a2c407501d33abaa8b9264986a54ae1a637f5304aabacc1356ec4297,12,cross_family_test_set,XATMOV/structures/XATMOV_C2_14_248_z2_22.cif,b7783457b8bc446b7e7a68821cb23875c038087264669bbe04ec0fe91f23ff50,1b228273a2c407501d33abaa8b9264986a54ae1a637f5304aabacc1356ec4297,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[14.733243950676098, 0.0, 0.0, 0.0, 14.158023947405306, 0.0, 9.110774157049681, 0.0, 12.672478025638345]",2643.3980743130173,[],"{""cutoff=6.000_skin=0.000"": 1972, ""cutoff=6.000_skin=0.500"": 2672}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0013,XATMOV_C2_14_454_z2_22,647fb1bd8786564ef2ddf17d34b1c3d28072516b0a05413cfc9d13646a7cb8e6,13,cross_family_test_set,XATMOV/structures/XATMOV_C2_14_454_z2_22.cif,07e2c7cc7d95243b9ab86864d50d0ef1f858d9a8895474b07e21e4306c375da6,647fb1bd8786564ef2ddf17d34b1c3d28072516b0a05413cfc9d13646a7cb8e6,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[19.30461709899737, 0.0, 0.0, 0.0, 8.575521930509517, 0.0, -12.736151884377124, 0.0, 21.37802427965997]",3539.0713618088735,[],"{""cutoff=6.000_skin=0.000"": 1984, ""cutoff=6.000_skin=0.500"": 2444}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0014,XATMOV_C1_14_6964_z2_22,394bb10f582be3e7c5b8c639b8db15876544ab1041c253fa775d063f39dfc244,14,cross_family_test_set,XATMOV/structures/XATMOV_C1_14_6964_z2_22.cif,f0075435a3038d0e13bdb59caeb34187d1432f0658296d27ec84de637da9074c,394bb10f582be3e7c5b8c639b8db15876544ab1041c253fa775d063f39dfc244,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[14.122807703746851, 0.0, 0.0, 0.0, 14.92701384126487, 0.0, -0.8350692331481622, 0.0, 15.685078712357129]",3306.592556587101,[],"{""cutoff=6.000_skin=0.000"": 1996, ""cutoff=6.000_skin=0.500"": 2440}",0.0,,
OPT-RFT-XATMOV88-R512-v1,fae3cd510f7c1880e11bf0b677e0d7ad0094c8e909e2ee11e6410c35bd33254a,OPT-RFT-XATMOV88-R512-v1:0015,XATMOV_C1_14_2793_z2_22,b150f7fc8edcdd2177f9ae34114623d61b5b2dafbe4de0efe2095db6ed005c52,15,cross_family_test_set,XATMOV/structures/XATMOV_C1_14_2793_z2_22.cif,e4f8a28928a86d8d5599f5b6797902411e71767d263d0f457c180f4c25ed8b5c,b150f7fc8edcdd2177f9ae34114623d61b5b2dafbe4de0efe2095db6ed005c52,0,88,"[""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""C"", ""C"", ""N"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C24H56N8,"[true, true, true]","[15.022365774463896, 0.0, 0.0, 0.0, 14.779692329982776, 0.0, 1.4119204793590048, 0.0, 14.13193178369574]",3137.655497857576,[],"{""cutoff=6.000_skin=0.000"": 2008, ""cutoff=6.000_skin=0.500"": 2500}",0.0,,
